0,322.25,104.48256
15,322.25,98.53798
30,353,92.85704
45,402.5,92.20478667
60,404.25,75.11747333
75,411.25,70.72405333
90,384.25,82.41585333
105,310.75,68.75208667
120,286,63.00423333
135,256.25,69.31562
150,247,73.91846
165,225.75,67.13734
180,232.75,60.33254667
195,243,66.64927333
210,231.75,69.35312
225,259.75,60.26553333
240,243.25,66.99468667
255,259.75,66.52055333
270,257.25,66.12237333
285,239.75,70.64298667
300,254,54.01724667
315,223.25,63.85214667
330,234,72.80488
345,221.25,75.58558
360,228.25,70.38483333
375,248,82.59568
390,251.5,82.25505333
405,277.5,77.76304
420,264,83.69831333
435,275.5,72.73729333
450,265.25,101.3021867
465,263,95.79907333
480,281,85.04547333
495,270.75,118.17052
510,289,104.27148
525,285.75,110.4327267
540,291.5,107.5386133
555,285.25,112.0878
570,292.25,127.63206
585,318,122.3514933
600,339.25,129.8335333
615,384,133.42622
630,385,111.14704
645,481.5,114.3146933
660,624.5,102.9037467
675,519.75,88.18768667
690,447,93.07729333
705,406.75,105.7413333
720,315.75,109.0644667
735,454.75,111.8552667
750,516.75,126.2171333
765,484.25,123.1632533
780,471.75,111.7581933
795,577.25,101.1690733
810,737.5,117.0910133
825,712.75,135.5468
840,710,128.6191933
855,558,123.884
870,429.75,116.62966
885,467.75,102.2325333
900,561.25,142.7313333
915,521.75,115.0474
930,511.5,118.2580267
945,474.75,115.0950667
960,329,90.24160667
975,347,95.05024667
990,336.5,88.65568667
1005,311,95.41874
1020,305,126.26136
1035,315.75,128.0546333
1050,298.75,166.4423333
1065,317.75,174.9497333
1080,305.75,180.664
1095,304.25,201.5553333
1110,323,184.3912667
1125,297.75,189.2688667
1140,311.25,196.7925333
1155,303.75,213.3926667
1170,309.5,195.3806667
1185,385.25,198.8418667
1200,460.25,194.8378667
1215,552.25,192.7032
1230,608.5,161.3550667
1245,714.75,153.6666667
1260,753.5,155.5816
1275,726,170.2024667
1290,722.5,159.146
1305,594,156.2115333
1320,503.5,120.4246
1335,458,120.0574
1350,377.75,133.3918
1365,333.75,129.3967333
1380,303.75,108.2101667
1395,268.75,111.421
1410,271.6666667,104.35362
1425,264,104.2722667
1440,230,104.266
