Time, Demand_HH, Demand_EV, Demand_Total
2019 Aug 19 (Mon) 0:00, 60651.4, 214600, 275251
2019 Aug 19 (Mon) 0:30, 55587.2, 214600, 270187
2019 Aug 19 (Mon) 1:00, 50600.9, 214600, 265201
2019 Aug 19 (Mon) 1:30, 46735.3, 214600, 261335
2019 Aug 19 (Mon) 2:00, 45923.5, 214600, 260523
2019 Aug 19 (Mon) 2:30, 43410.8, 214600, 258011
2019 Aug 19 (Mon) 3:00, 43410.8, 214600, 258011
2019 Aug 19 (Mon) 3:30, 44802.8, 214600, 259403
2019 Aug 19 (Mon) 4:00, 44106.5, 214600, 258706
2019 Aug 19 (Mon) 4:30, 47508.1, 214600, 262108
2019 Aug 19 (Mon) 5:00, 49750.1, 214600, 264350
2019 Aug 19 (Mon) 5:30, 56940.2, 214600, 271540
2019 Aug 19 (Mon) 6:00, 61655.9, 214600, 276256
2019 Aug 19 (Mon) 6:30, 65753.8, 214600, 280354
2019 Aug 19 (Mon) 7:00, 70507.8, 214600, 285108
2019 Aug 19 (Mon) 7:30, 75801, 214600, 290401
2019 Aug 19 (Mon) 8:00, 74375.4, 214600, 288975
2019 Aug 19 (Mon) 8:30, 68263.8, 214600, 282864
2019 Aug 19 (Mon) 9:00, 67339.8, 0, 67339.8
2019 Aug 19 (Mon) 9:30, 66066, 0, 66066
2019 Aug 19 (Mon) 10:00, 63125, 0, 63125
2019 Aug 19 (Mon) 10:30, 60148.4, 0, 60148.4
2019 Aug 19 (Mon) 11:00, 61153.6, 0, 61153.6
2019 Aug 19 (Mon) 11:30, 63318.4, 0, 63318.4
2019 Aug 19 (Mon) 12:00, 64361.9, 0, 64361.9
2019 Aug 19 (Mon) 12:30, 64864.8, 0, 64864.8
2019 Aug 19 (Mon) 13:00, 65792.8, 0, 65792.8
2019 Aug 19 (Mon) 13:30, 62506.6, 0, 62506.6
2019 Aug 19 (Mon) 14:00, 62622.8, 0, 62622.8
2019 Aug 19 (Mon) 14:30, 61269.8, 0, 61269.8
2019 Aug 19 (Mon) 15:00, 65870, 0, 65870
2019 Aug 19 (Mon) 15:30, 70395.6, 0, 70395.6
2019 Aug 19 (Mon) 16:00, 75187.2, 0, 75187.2
2019 Aug 19 (Mon) 16:30, 80249.4, 0, 80249.4
2019 Aug 19 (Mon) 17:00, 89218.8, 0, 89218.8
2019 Aug 19 (Mon) 17:30, 98960.4, 0, 98960.4
2019 Aug 19 (Mon) 18:00, 109204, 0, 109204
2019 Aug 19 (Mon) 18:30, 117203, 197797, 315000
2019 Aug 19 (Mon) 19:00, 118133, 196867, 315000
2019 Aug 19 (Mon) 19:30, 120259, 194741, 315000
2019 Aug 19 (Mon) 20:00, 115738, 199262, 315000
2019 Aug 19 (Mon) 20:30, 116200, 198800, 315000
2019 Aug 19 (Mon) 21:00, 113883, 201117, 315000
2019 Aug 19 (Mon) 21:30, 108821, 206179, 315000
2019 Aug 19 (Mon) 22:00, 98689.8, 216310, 315000
2019 Aug 19 (Mon) 22:30, 91462.8, 223537, 315000
2019 Aug 19 (Mon) 23:00, 81252.6, 233747, 315000
2019 Aug 19 (Mon) 23:30, 71167.8, 243832, 315000
2019 Aug 20 (Tue) 0:00, 60651.4, 254349, 315000
